Health System,Hospital,URL
,MANIILAQ MEDICAL CENTER,
,MT EDGECUMBE HOSPITAL - SEARHC,
,JACKSON COUNTY HOSPITAL,
,MAURY REGIONAL HOSPITAL,
,WEST TENNESSEE HEALTHCARE NORTH HOSPITAL,
,GREAT FALLS CLINIC MEDICAL CENTER,
,WYOMING STATE HOSPITAL,
,HENRY COUNTY MEDICAL CENTER,
,EPHRAIM MCDOWELL JAMES B. HAGGIN MEMORIAL HOSPITAL,
,METHODIST MEDICAL CENTER OF OAK RIDGE,
,ERLANGER BLEDSOE,
,STARR REGIONAL MEDICAL CENTER,
,TRISTAR SKYLINE MEDICAL CENTER,
,KINDRED HOSPITAL - CHATTANOOGA,
,ERLANGER MEDICAL CENTER,
,NORTHCREST MEDICAL CENTER,
,JELLICO MEDICAL CENTER,
,JOHNSON CITY MEDICAL CENTER,
,WILLIAMSON MEDICAL CENTER,
,RIVERSIDE HOSPITAL OF LOUISIANA,
,RHEA MEDICAL CENTER,
,SAINT THOMAS RUTHERFORD HOSPITAL,
,TENNOVA HEALTHCARE PHYSICIANS REGIONAL MEDICAL CENTER,
,BRISTOL REGIONAL MEDICAL CENTER,
,HANCOCK COUNTY HOSPITAL,
,HOLSTON VALLEY MEDICAL CENTER,
,COFFEY COUNTY HOSPITAL,
,STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,
,HOSP SAN CRISTOBAL,
,OCHSNER REHABILITATION HOSPITAL,
,SOUTH CENTRAL KS MED CENTER,
,WILSON MEDICAL CENTER,
,THE UNIVERSITY OF KANSAS HEALTH SYSTEM GREAT BEND CAMPUS,
,COMMUNITY HOSPITAL ONAGA AND ST MARYS CAMPUS,
,AVAIL HEALTH LAKE CHARLES HOSPITAL,
,HOSPITAL BUEN SAMARITANO,
,HOSP BELLA VISTA,
,HOSP DE LA CONCEPCION,
,CENTRO DE SALUD INTEGRAL DE OROCOVIS,
,HOSP GENERAL MENONITA - CAYEY,
,ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL INC,
,MANATI MEDICAL CENTER DR ALEJANDRO OTERO LOPEZ,
,ADMINISTRACION DE SERVICIOS MEDICOS DE PR (ASEM),
,UTMB ANGLETON-DANBURY MEDICAL CENTER,
,ST. DAVID'S MEDICAL CENTER,
,MEDICAL CITY OF ARLINGTON,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,
,HOUSTON METHODIST BAYTOWN HOSPITAL,
,MEMORIAL HERMANN ORTHOPEDIC AND SPINE HOSPITAL,
,BAYSIDE COMMUNITY HOSPITAL,
,NORTH AUSTIN MEDICAL CENTER,
,ST MARYS HOSPITAL,
,HOSP ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,
,HIMA SAN PABLO CUPEY,
,UNION CORRECTIONAL INSTITUTE HOSPITAL,
,WINNIE PALMER HOSPITAL FOR WOMEN & BABIES,
,WEST FLORIDA REHABILITATION INSTITUTE,
,ST JOSEPH'S WOMEN'S HOSPITAL,
,EASTLAND MEMORIAL HOSPITAL,
,THE HOSPITALS OF PROVIDENCE EAST CAMPUS,
,FREESTONE MEDICAL CENTER,
,CONNALLY MEMORIAL MEDICAL CENTER,
,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,
,NORTH TEXAS MEDICAL CENTER,
,HILL COUNTRY MEMORIAL HOSPITAL,
,HUNT REGIONAL MEDICAL CENTER GREENVILLE,
,MEMORIAL HOSPITAL,
,GRAHAM REGIONAL MEDICAL CENTER,
,LAVACA MEDICAL CENTER,
,MEDINA REGIONAL HOSPITAL,
,CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,
,MEMORIAL HERMANN NORTHEAST HOSPITAL,
,CHRISTUS JASPER MEMORIAL HOSPITAL,
,KIMBLE HOSPITAL,
,MEMORIAL HERMANN KATY HOSPITAL,
,PETERSON REGIONAL MEDICAL CENTER,
,ASCENSION SETON MEDICAL CENTER HAYS,
,COVENANT HOSPITAL LEVELLAND,
,BAYLOR SCOTT AND WHITE HEALTHCARE - LLANO,
,CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,
,METHODIST MCKINNEY HOSPITAL,
,MISSION REGIONAL MEDICAL CENTER,
,TITUS REGIONAL MEDICAL CENTER,
,HOUSTON METHODIST CLEAR LAKE HOSPITAL,
,NACOGDOCHES MEDICAL CENTER,
,SAINT CLARE'S HOSPITAL,
,ODESSA REGIONAL MEDICAL CENTER SOUTH CAMPUS,
,PALESTINE REGIONAL MEDICAL CENTER,
,PARIS REGIONAL MEDICAL CENTER - SOUTH CAMPUS,
,GOOD SHEPHERD MEDICAL CENTER - LINDEN,
,PAMPA REGIONAL MEDICAL CENTER,
,HCA HOUSTON HEALTHCARE SOUTHEAST,
,SURGERY SPECIALTY HOSPITALS OF AMERICA SOUTHEAST HOUSTON,
,ST. LUKE'S PATIENTS MEDICAL CENTER,
,COVENANT HOSPITAL PLAINVIEW,
,REEVES COUNTY HOSPITAL,
,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,
,FRIO REGIONAL HOSPITAL,
,METHODIST RICHARDSON MEDICAL CENTER,
,OAKBEND MEDICAL CENTER,
,BAYLOR SCOTT AND WHITE HOSPITAL - ROUND ROCK,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,
,VALLEY WEST COMMUNITY HOSPITAL,
,SOUTHWEST GENERAL HOSPITAL,
,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,
,METHODIST STONE OAK HOSPITAL,
,METHODIST TEXSAN HOSPITAL,
,BAPTIST HEALTH MADISONVILLE,
,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,
,WILSON N JONES REGIONAL MEDICAL CENTER,
,MEMORIAL HERMANN FIRST COLONY HOSPITAL,
,MEMORIAL HERMANN THE WOODLANDS HOSPITAL,
,HCA HOUSTON HEALTHCARE TOMBALL,
,EAST TEXAS MEDICAL CENTER TRINITY,
,UVALDE MEMORIAL HOSPITAL,
,ASCENSION PROVIDENCE HEALTH CENTER,
,HOUSTON PHYSICIANS' HOSPITAL,
,PARKVIEW HOSPITAL,
,NORTH RUNNELS HOSPITAL,
,BAYLOR MEDICAL CENTER AT UPTOWN,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,
,HOUSTON METHODIST WEST HOSPITAL,
,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,
,HOUSTON METHODIST HOSPTIAL,
,HOUSTON METHODIST WILLOWBROOK HOSPITAL,
,DALLAS MEDICAL CENTER,
,RENAISSANCE HOSPITAL TERRELL,
,BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AT CEDAR PARK,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,
,ST DAVID'S GEORGETOWN HOSPITAL,
,ST LUKE'S BAPTIST HOSPITAL,
,HARRIS HEALTH SYSTEM LYNDON B JOHNSON GENERAL HOSP,
,EAST HOUSTON REGIONAL MED CTR,
,BAPTIST EMERGENCY HOSPITAL - ZARZAMORA,
,MEMORIAL HERMANN PEARLAND HOSPITAL,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,
,EMINENT MEDICAL CENTER,
,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,
,SCENIC MOUNTAIN MEDICAL CENTER,
,LEGENT HOSPITAL FOR SPECIAL SURGERY,
,BAPTIST EMERGENCY HOSPITAL,
,RESOLUTE HEALTH,
,FIRST BAPTIST MEDICAL CENTER,
,STEWARD HILLSIDE REHABILITATION HOSPITAL,
,SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,
,RIDGEVIEW HOSPITAL,
,BAYLOR SCOTT & WHITE MEDICAL CENTER AT WAXAHACHIE,
,MEMORIAL HERMANN SURGICAL HOSPITAL FIRST COLONY,
,BAY AREA REGIONAL MEDICAL CENTER,
,SOUTH TEXAS SURGICAL HOSPITAL,
,FIRST TEXAS HOSPITAL,
,HARRIS HEALTH SYSTEM QUENTIN MEASE HOSPITAL,
,ST CHARLES - MADRAS,
,FAITH COMMUNITY HOSPITAL,
,THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,
,REAGAN MEMORIAL HOSPITAL,
,MEDICAL CITY OF ALLIANCE,
,JOHNSTON MEMORIAL HOSPITAL,
,ST. LUKE'S REHABILITATION,
,ST. LUKE'S WOOD RIVER MEDICAL CENTER,
,FRANCISCAN ST FRANCIS HEALTH - CARMEL,
,ESKENAZI HEALTH,
,LAKE GRANBURY MEDICAL CENTER,
,LIMESTONE MEDICAL CENTER,
,NAVAL MEDICAL CENTER PORTSMOUTH,
,LAMB HEALTHCARE CENTER,
,UNIVERSITY OF MINNESOTA MEDICAL CENTER-FAIRVIEW-EAST BANK-ER,
,EDWARD PLAINFIELD,
,TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,
,VA MEDICAL CENTER - KANSAS CITY,
,LAWTON INDIAN HOSPITAL,
,VA MEDICAL CENTER - OMAHA,
,ATRIUM MEDICAL CENTER AT CORINTH,
,KINDRED HOSPITAL HOUSTON NORTHWEST,
,HCA HOUSTON HEATHCARE SPECIALTY HOSPITAL,
,SE TEXAS ER AND HOSPITAL,
,PAM SPECIALTY HOSPITAL OF LULING,
,DUBUIS HOSPITAL OF PARIS,
,KINDRED HOSPITAL - SAN ANTONIO,
,KINDRED HOSPITAL SUGAR LAND,
,ATRIUM MEDICAL CENTER,
,PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,
,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,
,GEORGE H. O'BRIEN,
,ALLEGIANCE HEALTH CENTER PERMIAN BASIN,
,AURORA SINAI MEDICAL CENTER,
,VA HEALTH CARE CENTER (HCC) AT HARLINGEN,
,NIX HEALTH CARE SYSTEM,
,KAHUKU MEDICAL CENTER,
,KINGWOOD PINES HOSPITAL,
,SUNRISE CANYON,
,AUSTIN OAKS HOSPITAL,
,DALLAS BEHAVIORAL HEALTHCARE HOSPITAL LLC,
,OCEANS BEHAVIORAL HOSPITAL OF THE PERMIAN BASIN,
,PALMS BEHAVIORAL HEALTH,
,BEHAVIORAL MEDICINE AT RENAISSANCE,
,THE PAVILIION,
,UT HEALTH EAST TEXAS BEHAVIORAL HEALTH CENTER,
,GEORGETOWN BEHAVIORAL HEALTH INSTITUE,
,NORTH HAWAII COMMUNITY HOSPITAL,
,CHI ST JOSEPH REHAB HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DALLAS,
,HEALTHSOUTH REHABILITATION HOSPITAL OF FORTH WORTH,
,ENCOMPASS HEALTH REHABILITATION OF CITY VIEW,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HUMBLE,
,CHRISTUS TRINITY MOTHER FRANCES REHABILITATION HOSPITAL,
,KINDRED REHABILITATION HOSPITAL CLEAR LAKE,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF WICHITA FALLS,
,ICARE REHABILTATION HOSPITAL,
,BAYLOR INSTITUTE FOR REHABILITATION AT NORTHWEST DALLAS,
,PAM REHABILITATION HOSPITAL OF VICTORIA,
,LAS PALMAS REHABILITATION HOSPITAL,
,REBA MCENTIRE CENTER FOR REHABILITATION,
,WARM SPRINGS REHABILITATION HOSPITAL OF KYLE,
,PROVIDENCE HOSPITAL,
,PHYSICIANS SURGICAL HOSPITAL - QUAIL CREEK,
,NORTHWEST HILLS SURGICAL HOSPITAL,
,USMD HOSPITAL AT ARLINGTON,
,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,
,UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,
,LUBBOCK HEART HOSPITAL,
,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,
,BAYLOR HEART AND VASCULAR CENTER,
,LEGENT ORTHOPEDIC + SPINE,
,MCALLEN HEART HOSPITAL,
,METHODIST SPECIALTY & TRANSPLANT HOSPITAL,
,ALTUS BAYTOWN HOSPITAL,
,PHYSICIANS SURGICAL HOSPITAL - PANHANDLE CAMPUS,
,SHELBY BAPTIST MEDICAL CENTER,
,SOUTHEAST ALABAMA MEDICAL CENTER,
,MEDICAL CENTER BARBOUR,
,GROVE HILL MEMORIAL HOSPITAL,
,ATMORE COMMUNITY HOSPITAL,
,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,
,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,
,GADSDEN REGIONAL MEDICAL CENTER,
,SHRINERS HOSPITAL FOR CHILDREN,
,MENTAL HEALTH INSTITUTE,
,CHI HEALTH MERCY HOSPITAL,
,GROVE CREEK MEDICAL CENTER,
,MOUNTAIN VIEW HOSPITAL,
,PORTNEUF MEDICAL CENTER,
,GENESIS MEDICAL CENTER ALEDO,
,BLUE ISLAND HOSPITAL CO LLC DBA METROSOUTH MEDICAL CENTER,
,PRESENCE CHICAGO HOSPITALS NETWORK DBA PRESENCE SAINT MARY OF NAZARETH HOSPITAL CENTER,
,ADVOCATE TRINITY HOSPITAL,
,CHICAGO BEHAVIORAL HOSPITAL,
,PRESANCE CHICAGO HOSPITALS NETWORK DBA PRESENCE HOLY FAMILY MEDICAL CENTER,
,MERCY HARVARD HOSPITAL,
,HI-DESERT MEDICAL CENTER,
,EDGEMOOR GERIATRIC HOSPITAL,
,DEPARTMENT OF STATE HOSPITAL - ATASCADERO,
,HEALDSBURG DISTRICT HOSPITAL,
,PALMDALE REGIONAL MEDICAL CENTER,
,SAN DIMAS COMMUNITY HOSPITAL,
,SAN GABRIEL VALLEY MEDICAL CENTER,
,MENIFEE VALLEY MEDICAL CENTER,
,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER - D/P APH,
,CIRBY HILLS BEHAVIORAL HEALTH,
,FRESNO HEART AND SURGICAL HOSPITAL,
,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,
,JEROLD PHELPS COMMUNITY HOSPITAL,
,MAMMOTH HOSPITAL,
,CHAPMAN MEDICAL CENTER,
,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,
,STANISLAUS SURGICAL HOSPITAL,
,PORTERVILLE DEVELOPMENTAL CENTER,
,EASTSIDE MEDICAL CENTER,
,CANDLER COUNTY HOSPITAL,
,SELECT SPECIALTY HOSPITAL - ATLANTA,
,PUTNAM GENERAL HOSPITAL,
,COLQUITT REGIONAL MEDICAL CENTER,
,EVANS MEMORIAL HOSPITAL,
,TULANE - LAKESIDE HOSPITAL,
,MILLER COUNTY HOSPITAL,
,PIEDMONT ROCKDALE HOSPITAL,
,WARM SPRINGS MEDICAL CENTER,
,JEFFERSON HOSPITAL,
,JEFF DAVIS HOSPITAL,
,UNION GENERAL HOSPITAL,
,JENKINS COUNTY HOSPITAL,
,INDIANA UNIVERSITY HEALTH TRANSPLANT,
,TULANE MEDICAL CENTER,
,ST. JAMES BEHAVIORAL HEALTH HOSPITAL,
,FRANKLIN FOUNDATION HOSPITAL,
,PHYSICIANS MEDICAL CENTER,
,ABROM KAPLAN MEMORIAL HOSPITAL,
,ST. JAMES PARISH HOSPITAL,
,CYPRESS GROVE BEHAVIORAL HEALTH LLC,
,VILLA FELICIANA MEDICAL COMPLEX,
,EAST CARROLL PARISH HOSPITAL,
,PROMISE HOSPITAL OF LOUISIANA-BOSSIER CITY CAMPUS,
,HARDTNER MEDICAL CENTER,
,AVOYELLES HOSPITAL,
,PAM SPECIALTY HOSPITAL OF COVINGTON,
,HOOD MEMORIAL HOSPITAL,
,OCHSNER MEDICAL CENTER-BATON ROUGE,
,LAKE CHARLES MEMORIAL HOSPITAL FOR WOMEN,
,WAUKESHA CTY MENTAL HLTH CTR,
,BUTTE COUNTY PHF,
,COLORADO RIVER MEDICAL CENTER,
,ALVARADO HOSPITAL MEDICAL CENTER,
,ALVARADO PARKWAY INSTITUTE B.H.S.,
,KINDRED HOSPITAL - SAN DIEGO,
,PARADISE VALLEY HOSPITAL,
,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,
,DESOTO REGIONAL HEALTH SYSTEM,
,EUNICE EXTENDED CARE HOSPITAL,
,LANGLEY PORTER PSYCHIATRIC INSTITUTE,
,UCSF MEDICAL CENTER,
,UCSF MEDICAL CENTER AT MOUNT ZION,
,COAST PLAZA DOCTORS HOSPITAL,
,COMMUNITY HOSPITAL OF HUNTINGTON PARK,
,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,
,DOCS SURGICAL HOSPITAL,
,OLYMPIA MEDICAL CENTER,
,PACIFIC ALLIANCE MEDICAL CENTER,
,WEST HILLS HOSPITAL AND MEDICAL CENTER,
,HAZEL HAWKINS MEMORIAL HOSPITAL,
,CORONA REGIONAL MEDICAL CENTER-MAIN,
,PATIENTS' HOSPITAL OF REDDING,
,KENTFIELD REHABILITATION HOSPITAL,
,SURPRISE VALLEY COMMUNITY HOSPITAL,
,FRESNO SURGICAL HOSPITAL,
,TRINITY HOSPITAL,
,PACIFIC ORANGE HOSPITAL,
,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,
,WEST ANAHEIM MEDICAL CENTER,
,OAK VALLEY DISTRICT HOSPITAL (2-RH),
,KAWEAH DELTA REHABILITATION HOSPITAL,
,WEST PACES MEDICAL CENTER,
,YOUTH VILLAGES - INNER HARBOUR CAMPUS,
,WASHINGTON COUNTY HOSPITAL,
,DOCTOR'S HOSPITAL AT DEER CREEK,
,SOUTHEAST REGIONAL MEDICAL CENTER,
,DEQUINCY MEMORIAL HOSPITAL,
,ALVARADO HOSPITAL MEDICAL CENTER,
,CALIFORNIA PACIFIC MED CTR-DAVIES CAMPUS,
,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,
,CALIFORNIA REHABILITATION INSTITUTE,
,DOCTORS MEDICAL CENTER-BEHAVIORAL HEALTH DEPARTMENT,
,SOUTHERN CALIFORNIA HOSPITAL AT VAN NUYS D/P APH,
,DEPARTMENT OF STATE HOSPITAL - COALINGA,
,MAYERS MEMORIAL HOSPITAL,
,SANTA MONICA - UCLA MEDICAL CENTER & ORTHOPAEDIC HOSPITAL,
,SHASTA COUNTY P H F,
,TELECARE SANTA CRUZ PHF,
,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA HOSPITAL,
,PIEDMONT COLUMDUS REGIONAL NORTHSIDE,
,REGENCY HOSPITAL COMPANY OF MACON,
,CHATUGE REGIONAL HOSPITAL,
,CANDLER HOSPITAL,
,ADVENTHEALTH MURRAY,
,TANNER MEDICAL CENTER - CARROLLTON,
,PIEDMONT FAYETTE HOSPITAL,
,ROOSEVELT WARM SPRINGS REHABILITATION HOSPITAL,
,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,
,WESLEY WOODS GERIATRIC HOSPITAL,
,THEDACARE MEDICAL CENTER NEW LONDON,
,AURORA ST LUKES MED CTR SOUTH SHORE,
,POST ACUTE MEDICAL SPECIALTY HOSPITAL OF MILWAUKEE,
,AURORA ST LUKES MEDICAL CENTER,
,AURORA WEST ALLIS MEDICAL CENTER,
,BALDWIN AREA MED CTR,
,BELLIN HEALTH OCONTO HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALEXANDRIA,
,HOUMA-AMG SPECIALTY HOSPITAL,
,OCHSNER MEDICAL CENTER,
,LODI MEMORIAL HOSPITAL - WEST,
,TARZANA TREATMENT CENTER,
,ST. JUDE MEDICAL CENTER,
,AUGUSTA MEDICAL CENTER,
,CHILDREN'S HOSPITAL COLORADO AT ST JOSEPHS HOSP,
,SAUK PRAIRIE MEM HSPTL,
,THEDA CLARK MED CTR,
,ADVENTIST HEALTH SONORA REGIONAL MEDICAL CENTER D/P SNF (UNIT 6 AND 7),
,SANTA BARBARA COTTAGE HOSPITAL,
,CENTURY HOSPITAL MEDICAL CENTER,
,SCOTTSDALE HEALTHCARE THOMPSON PEAK,
,HEBREW REHABILITATION CENTER,
,LEMUEL SATTUCK HOSPITAL,
,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,
,GAYLORD HOSPITAL,
,HEBREW REHABILITATION CENTER AT DEDHAM,
,WESTWOOD/PEMBROKE HEALTH SYSTEM PEMBROKE,
,WALDEN BEHAVIORAL CARE,
,NEW ENGLAND SINAI HOSPITAL,
,STURGIS HOSPITAL,
,SPECTRUM HEALTH PENNOCK HOSPITAL,
,MCLAREN BAY REGION,
,FOREST HEALTH MEDICAL CENTER,
,MARY FREE BED HOSPITAL & REHABILITATION CENTER,
,ASPIRUS KEWEENAW HOSPITAL,
,DICKINSON COUNTY MEMORIAL HOSPITAL,
,FREDONIA REGIONAL HOSPITAL,
,ASPIRUS ONTONAGON HOSPITAL,
,OTSEGO MEMORIAL HOSPITAL,
,ST MARY'S OF MICHIGAN-TOWNE CTR,
,CHIPPEWA CO MONTEVIDEO HOSP,
,MAYO CLINIC HEALTH SYS AUSTIN,
,MERCY HOSPITAL JOPLIN,
,COX MEDICAL CENTERS SOUTH HOSPITAL,
,COX MEDICAL CENTERS NORTH HOSPITAL,
,KINDRED HOSPITAL NORTHLAND,
,CAMERON REGIONAL MEDICAL CENTER,
,CENTERPOINT MEDICAL CENTER,
,CRITTENTON CHILDREN'S CENTER,
,RESEARCH MEDICAL CENTER,
,RESEARCH PSYCHIATRIC CENTER,
,TRUMAN MEDICAL CENTER - LAKEWOOD,
,NEVADA REGIONAL MEDICAL CENTER,
,COMMUNITY HOSPITAL FAIRFAX,
,BATES COUNTY MEMORIAL HOSPITAL,
,NORTHWEST MO PSYCHIATRIC REHAB CTR,
,BELTON REGIONAL MEDICAL CENTER,
,FREEMAN HOSPITAL EAST,
,FREEMAN HOSPITAL WEST,
,LANDMARK HOSPITAL OF JOPLIN,
,FREEMAN NEOSHO HOSPITAL,
,ST. LUKE'S HOSPITAL,
,BARNES-JEWISH WEST COUNTY HOSPITAL,
,ST. LUKE'S REHABILITATION HOSPITAL,
,RANKEN JORDAN A PEDIATRIC REHABILITATION CENTER,
,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,
,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,
,PARKLAND HEALTH CENTER-BONNE TERRE,
,SOUTHEASTHEALTH CENTER OF RIPLEY COUNTY,
,SSM ST. JOSEPH HEALTH CENTER,
,SSM ST. JOSEPH HEALTH CENTER-WENTZVILLE,
,SSM ST. JOSEPH HOSPITAL WEST,
,CENTERPOINTE HOSPITAL,
,BARNES-JEWISH ST. PETERS HOSPITAL,
,FITZGIBBON HOSPITAL,
,WRIGHT MEMORIAL HOSPITAL,
,MERCY HOSPITAL WASHINGTON,
,HERMANN AREA DISTRICT HOSPITAL,
,IRON COUNTY HOSPITAL,
,SALEM MEMORIAL DISTRICT HOSPITAL,
,WASHINGTON COUNTY MEMORIAL HOSPITAL,
,SULLIVAN COUNTY MEMORIAL HOSPITAL,
,PUTNAM COUNTY MEMORIAL HOSPITAL,
,PHELPS COUNTY REGIONAL MEDICAL CENTER,
,SAINT FRANCIS MEDICAL CENTER,
,PERRY COUNTY MEMORIAL HOSPITAL,
,TEXAS COUNTY MEMORIAL HOSPITAL,
,ELLETT MEMORIAL HOSPITAL,
,ROYAL OAKS HOSPITAL,
,LAFAYETTE REGIONAL HEALTH CENTER,
,MERCY HOSPITAL CASSVILLE,
,RAY COUNTY MEMORIAL HOSPITAL,
,HEDRICK MEDICAL CENTER,
,OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,
,MERCY ORTHOPEDIC HOSPITAL SPRINGFIELD,
,MERCY REHABILITATION HOSPITAL SPRINGFIELD,
,CEDAR COUNTY MEMORIAL HOSPITAL,
,KINDRED HOSPITAL ST LOUIS SOUTH,
,MONROE REGIONAL HOSPITAL,
,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,
,NOVANT HEALTH MATTHEWS MEDICAL CENTER,
,NOVANT HOSPITAL CHARLOTTE ORTHOPEDIC HOSPITAL,
,NOVANT HEALTH ROWAN MEDICAL CENTER,
,CAPE FEAR VALLEY - BLADEN COUNTY HOSPITAL,
,SENTARA ALBEMARLE MEDICAL CENTER,
,ALLIANCE HEALTH SYSTEM,
,MERIT HEALTH RANKIN,
,SOUTH MS STATE HOSPITAL,
,MS STATE HOSPITAL,
,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,
,VIDANT DUPLIN HOSPITAL,
,NOVANT HEALTH MEDICAL PARK HOSPITAL,
,JOHNSTON MEDICAL CENTER - SMITHFIELD,
,MISSION HOSPITAL MCDOWELL,
,MARGARET R. PARDEE MEMORIAL HOSPITAL,
,HAYWOOD REGIONAL MEDICAL CENTER,
,OUR COMMUNITY HOSPITAL,
,DAVIS REGIONAL MEDICAL CENTER,
,IREDELL MEMORIAL HOSPITAL,
,VIDANT ROANOKE-CHOWAN HOSPITAL,
,HIGH POINT REGIONAL HEALTH SYSTEM,
,PERSON MEMORIAL HOSPITAL,
,CHATHAM HOSPITAL,
,ERLANGER MURPHY MEDICAL CENTER,
,SOUTHEASTERN REGIONAL MEDICAL CENTER,
,CHARLES A. CANNON,
,J. ARTHUR DOSHER MEMORIAL HOSPITAL,
,CAREPARTNERS REHABILITATION HOSPITAL,
,CAROLINAS HEALTHCARE SYSTEM BLUE RIDGE,
,CAPE FEAR VALLEY MEDICAL CENTER,
,ATRIUM HEALTH- ANSON,
,CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,
,CAROLINAS REHABILITATION - NORTHEAST,
,FIRSTHEALTH MOORE REGIONAL HOSPITAL - HOKE CAMPUS,
,SELECT SPECIALTY HOSPITAL - GREENSBORO,
,MOUNTRAIL COUNTY MEDICAL CENTER,
,OAKES COMMUNITY HOSPITAL,
,NORTH DAKOTA STATE HOSPITAL,
,TOWNER COUNTY MEDICAL CENTER,
,SANFORD MAYVILLE,
,PRESENTATION MEDICAL CENTER,
,CHI ST ALEXIUS HEALTH WILLISTON,
,REGIONS BEHAVIORAL HOSPITAL,
,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,
,AVERA CREIGHTON HOSPITAL,
,ADVENTHEALTH ORLANDO,
,ADVENTHEALTH EAST ORLANDO,
,HEALTH CENTRAL,
,SELECT SPECIALTY HOSPITAL - ORLANDO NORTH,
,ST CLOUD REGIONAL MEDICAL CENTER,
,BETHESDA HOSPITAL EAST,
,GOOD SAMARITAN MEDICAL CENTER,
,JFK MEDICAL CENTER NORTH CAMPUS,
,KINDRED HOSPITAL PALM BEACHES,
,ST MARY'S MEDICAL CENTER,
,WEST BOCA MEDICAL CENTER,
,WEST PALM BEACH VA MEDICAL CENTER,
,ADVENTHEALTH NORTH PINELLAS,
,MORTON PLANT HOSPITAL,
,ST PETERSBURG GENERAL HOSPITAL,
,ADVENTHEALTH SEBRING,
,OREGON STATE HOSPITAL- SALEM,
,ADVENTHEALTH TAMPA,
,JAMES A HALEY VETERANS' HOSPITAL,
,SHRINERS HOSPITALS FOR CHILDREN - TAMPA,
,SOUTH FLORIDA BAPTIST HOSPITAL,
,ST JOSEPH'S HOSPITAL NORTH,
,SPRINGBROOK HOSPITAL,
,RECEPTION AND MEDICAL CENTER HOSPITAL,
,DOCTORS HOSPITAL OF SARASOTA,
,CAPE CORAL HOSPITAL,
,ADVENTHEALTH DELAND,
,FLORIDA HOSPITAL OCEANSIDE,
,HALIFAX PSYCHIATRIC CENTER-NORTH,
,LAKE WALES MEDICAL CENTER,
,CAPE CANAVERAL HOSPITAL,
,ROCKLEDGE REGIONAL MEDICAL CENTER,
,HOLY CROSS HOSPITAL,
,MEMORIAL HOSPITAL MIRAMAR,
